station,date,lon,lat,weather_class
nyc,9/15/2019,-73.9693,40.779,good
jrb,9/15/2019,-74.009,40.7012,good
nyc,9/15/2019,-73.9693,40.779,good
jrb,9/15/2019,-74.009,40.7012,good
nyc,9/15/2019,-73.9693,40.779,good
jrb,9/15/2019,-74.009,40.7012,good
nyc,9/15/2019,-73.9693,40.779,good
jrb,9/15/2019,-74.009,40.7012,good
jrb,9/15/2019,-74.009,40.7012,good
nyc,9/15/2019,-73.9693,40.779,good
jrb,9/15/2019,-74.009,40.7012,good
nyc,9/15/2019,-73.9693,40.779,good
jrb,9/15/2019,-74.009,40.7012,good
nyc,9/15/2019,-73.9693,40.779,good
jrb,9/15/2019,-74.009,40.7012,good
nyc,9/15/2019,-73.9693,40.779,good
jrb,9/15/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,bad
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,bad
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,bad
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,bad
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,bad
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,bad
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,bad
jrb,9/16/2019,-74.009,40.7012,bad
jrb,9/16/2019,-74.009,40.7012,bad
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,bad
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,bad
jrb,9/16/2019,-74.009,40.7012,bad
jrb,9/16/2019,-74.009,40.7012,good
jrb,9/16/2019,-74.009,40.7012,good
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,bad
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/16/2019,-74.009,40.7012,bad
nyc,9/16/2019,-73.9693,40.779,good
jrb,9/17/2019,-74.009,40.7012,good
jrb,9/17/2019,-74.009,40.7012,good
nyc,9/17/2019,-73.9693,40.779,bad
jrb,9/17/2019,-74.009,40.7012,bad
jrb,9/17/2019,-74.009,40.7012,good
nyc,9/17/2019,-73.9693,40.779,bad
jrb,9/17/2019,-74.009,40.7012,bad
jrb,9/17/2019,-74.009,40.7012,good
nyc,9/17/2019,-73.9693,40.779,bad
jrb,9/17/2019,-74.009,40.7012,bad
jrb,9/17/2019,-74.009,40.7012,good
jrb,9/17/2019,-74.009,40.7012,bad
jrb,9/17/2019,-74.009,40.7012,good
jrb,9/17/2019,-74.009,40.7012,good
nyc,9/17/2019,-73.9693,40.779,bad
jrb,9/17/2019,-74.009,40.7012,good
jrb,9/17/2019,-74.009,40.7012,bad
jrb,9/17/2019,-74.009,40.7012,bad
jrb,9/17/2019,-74.009,40.7012,good
jrb,9/17/2019,-74.009,40.7012,good
nyc,9/17/2019,-73.9693,40.779,good
jrb,9/17/2019,-74.009,40.7012,good
nyc,9/17/2019,-73.9693,40.779,good
jrb,9/17/2019,-74.009,40.7012,good
nyc,9/17/2019,-73.9693,40.779,good
